aafkagh-,to burst
qelluughwagh-,to have excrement stuck to one (of a dog usually)
qelmeghsagh-,to polish
qelmeghte-,to become shiny
qelmeghute-,to glitter
qelmeghuute-,to flash; to reflect light
qelmegh-,to shimmer; to glitter; to be shiny
qelpate-,to be open; to be unlocked
qelpeghte-,to open (it); to start (an activity)
qelpegh-,to open
qelqela-,to be difficult
qelqe-,to compel; to order
qelulghute-,to tie to secure it from slipping off
qeluqite-,to be be restrained by a leash or tether; to stop suddenly upon reaching the end of one's rope
qelute-,to tie, bind or otherwise fasten tightly
qelu-,to have a muscle cramp; to be tied or fastened tightly; to be taut
qemighqe-,to split a frozen fish lengthwise; to stretch a rope tight and tie it securely
qemightu-,to be long
qemiite-,to hang by the neck; to strangle; to get choked up with sadness, fear, or grief
qemite-,to hang by the neck; to strangle; to get choked up with sadness, fear, or grief
qemleghaghte-,to have slight spinning of one's head; to have a darkening in one's eyes
qemqagh-,to ask someone to do something with someone
qemtigh-,to install a ceiling
qenaaghquute-,to make the rustling sound of walking on gravel or sand
qeneghte-,to feel and say that one has been slighted
qengaghsuki-,to snort (of animals)
qengaqegtagh-,to have a good sense of smell
qenneghhaliigh-,to travel low in water (of a boat)
qenneqegsagh-,to embrace, hug, or squeeze firmly; to make a hard fist
qenngulliqe-,to frown; to squint
qenutu-,to be thick
qeperghuugh-,to decorate front of sealskin water boots with narrow strips of bleached sealskin with waterproof seams
qepe-,to tie around; to strap as with tape
qepghagh-,to work
qepute-,to tie up or tie together; to lash
qerngagh-,together
qerngughqugh-,to gather things by repeated actions
qerngughte-,to gather; to assemble; to collect
qerrute-,to gather at a certain place; to mat or tangle (of hair or fur)
qerte-,to mat or tangle (of hair or fur)
qesigh-,to spit; to sweat; to perspire; to collect condensation
qesiite-,to spit out liquid; to spit blood
qesqesawi-,to stay forever; to stop resisting; to surrender
qesuga-,to have cramps from intestinal gas
qesugniqe-,to be very excited; to be elated; to anticipate enjoyment
qesugragh-,to repeatedly or continually pull out
qesugugh-,to forcefully pull out repeatedly
qesug-,to pull up and out; to yank out
qesuqite-,to choke on liquids; to swallow the wrong way
qete-,to embrace; to hug; to put one's arm around (it, him); to grasp
qetgagh-,to jump up and down; to jump rope
qetgamlla-,to jump with low short jumps as in dancing or when having a tantrum
qetgeghtugh-,to rely on for moral support
qetgegh-,to endeavor to consummate one's marriage after bride service to in-laws and now come to their house to claim one's bride; to jump; to catch up with; to attack; to rush over to a person at a distance, to greet him, render aid, or investigate
qetngigh-,to be bright and dazzling (light)
qetngiqe-,to be dazzled by bright light
qetulliighagh-,to soften; to become soft
qetuuqe-,to take a long time getting ready
qevute-,to beat up (a person)
qevuute-,to use one's might to the greatest degree possible; to do one's best; to speak loud; to act to the maximum amount one can
qighrughagh-,to secure an entrance with ropes
qigugh-,to cut hair short; to shear; to mow; to get a short haircut
qiifte-,to turn (it); to change plans
qiighnagh-,to be slippery; to be slick; to slide well
qiighnirkitagh-,to purposely slide (as on the ice) on one's feet as one walks
qiighnite-,to slip (on ice or other slippery surface)
qiigh-,to stoke a fire or stove; to put wood in stove
qiighwte-,to get grey hairs
qiighw-,to cough; to get a cold
qiigniigh-,to look for firewood
qiiksug-,to be self-conscious; to feel uneasy due to being watched; to feel bashful
qiiksuke-,to be self-conscious, feel bashful or overpowered because of being watched by (him)
qiilngumighte-,to convince
qiinghigh-,to get fully acquainted; to understand; to get to know; to get familiar with
qiinghute-,to aim at
qiipe-,to twist; to turn (a knob or the like)
qiipi-,to make hand-made thread
qiiptagh-,to gather kelp by twisting it, under the water, onto a special pole
qiivaqu-,to turn one's head side to side and look around
qiive-,to turn body or head; to make a turn while traveling; to turn toward someone for help
qiiyngu-,to decorate with a kind of needlepoint done with long reindeer hair from under the chin
qikeghte-,to bend
qikighqe-,to become bent; to become crooked
qikighqugh-,to set (a saw blade or the like)
qilagigh-,to become overcast; to become cloudy
qilag-,to make a net
qilghake-,to be annoyed or irritated over (it); to criticize
qilgha-,to complain; to be annoyed; to be irritated; to be critical
qilghayagute-,to become irritable
qilghayug-,to be irritable
qiliighnagh-,to be desirable
qiliigh-,to covet something; to desire something
qiliighyug-,to covet something; to desire something
qiliighyuke-,to covet (it); to desire (it)
qiliiqe-,to covet (it); to desire (it)
qilleghte-,to tie
qilug-,to bark (of dog)
qimagraa-,to be on the run
qimagugh-,to repeated run away
qimag-,to flee; to run away
qimugsigh-,to travel by dogteam
qimugtagh-,to take a pup on a training run
qimug-,to be trained (of a dog being trained for sled use)
qimuke-,to pursue (it) as a game animal
qineghpeghwaagh-,to look at with telescope or binoculars
qineghpugag-,to look at with telescope or binoculars
qineghte-,to look (or look at) through an opening, a window, door, sight, scope, etc.
qingagh-,to be persnickety (e.g. over food); to reject something (often food)
qingaghwiqe-,to become unpredictable, wild and hazardous
qingakute-,to stay away from others; to keep away from trouble
qingakutke-,to avoid trouble
qingaqe-,to reject (it - food); to find (it - food) distasteful
qingragh-,to conceal; to run away
qingrag-,to get away from annoyance or disturbance
qingsig-,to look aside at something; to glance at something; to glance at something
qingsugaghte-,to get a hangnail or broken fingernail
qingwaangite-,to disrespect the ownership rights of others
qinuke-,to be annoyed with; to lack interest in; to be bored with; to be disinclined to do (it)
qinunaghqe-,to tease; to pester; to provoke; to bother
qinu-,to be annoyed; to be disinclined to act
qinuyagute-,to tire of (it); to begin to find it wearisome
qinuyugte-,to pester
qinuyug-,to feel overwhelmed by the tasks facing one; to get sick; to feel irritated from being pestered
qiperutaagh-,to twist repeatedly
qipesqinghaaghte-,to soak too much (of boot soles)
qipesqinghaghte-,to be overly soaked (of skin-boot soles being soaked before shaping)
qipleghaghte-,to break by twisting or being twisted too much
qipleghte-,to stir; knead; to shake up
qipugh-,to wind a clock, watch, etc.
qipugute-,to mess things up
qirpaawi-,to be eager and enthusiastic; to exert effort in order to finish a task (despite difficulties)
qitegh-,to beat one's wife
qiteve-,to speak a language different from Yupik; to jabber; to speak Chukchi
qivesnagh-,to change direction repeatedly; to turn every which way
qivghuke-,to feel bad about (it); to feel sorry about about the loss of (it)
qivghuli-,to cause someone to feel bad (especially over a loss)
qivghunagh-,to make one sad; to cause one ot grieve
qivghu-,to be sorry about a loss; to grieve over the loss of a loved one or cherished possession; to regret
qivlegte-,to ransack; to dig into things making a mess of them
qivraagh-,to complain; to fuss; to gripe
qiwaaghnga-,to have short fur
qiwaagh-,to be shear short (of fur)
qiyaaghqe-,to intentionally make one cry
qiyaaghwagh-,to cry very hard and long
qiyaaqe-,to be crying
qiyamllagte-,to whine; to whimper
qiyanaruug-,to be annoyed or hurt; to feel like crying
qiya-,to cry (shed tears)
qiyengllegte-,to sob; to cry lightly
qiyiqe-,to cry off and on over a period of time; to weep
qiyvagniqe-,to reach the limits
qugaghsiigh-,to chop wood for fuel
qugagh-,to club; hit hard; to affix a knife or ax into a piece of wood
qugakesingwaagh-,to willfully ignore
qugake-,to pay attention; to respond
qugakigate-,to be inattentive; to be unresponsive
quganagh-,to be disgraceful
qugaqu-,to hit repeatedly; to peck (of a bird)
qugatagh-,to hollow out
qugerngugh-,to screech; to yelp; to smile frequently with laughter; to coo (baby's sound)
qugeyegte-,to giggle quietly (in excitement)
qughagh-,to dangle; to hang down; to sag
qughaseketiigh-,to dangle
qugiisigh-,to pickle or ferment meat
qugili-,to get fat
qugintagh-,to be fat
qugtuqaghmig-,to put into the baggy leg of old-fashioned bloomers with drawstrings at the knee
qukaayug-,to boast
qukaghite-,to get or place to the center of something; to reach the middle
qukaghte-,to be halfway through; to fill halfway; to be at the middle of a time span (day, month, year, etc.)
qukasalegh-,to be or hit right in the middle
qukfightagh-,to part the hair and pull back each half behind the ears; to open a book flat 
qukfighte-,to part the hair and pull back each half behind the ears; to open a book flat 
qukfighute-,to make a V-shaped wake (when a boat moves across the water)
qulaghwaaghite-,to be a spendthrift
qulite-,to wash one's hair
qullig-,to put on pants
qulqesaati-,to place a pot of food right above the flame to cook it quickly; to place wet clothing right above the flame to dry it quickly
qulqesaghqe-,to get to the area above (it)
qulqisiigh-,to elevate something from ground or floor; to raise
qulqite-,to reach the top or the upper level
qumigagh-,to climb pole using the legs; to shinny up a pole
qumig-,to put inside front of parka
qumikesegagh-,to sit with legs folded
quminge-,to become pregnant
qumsegte-,to close legs, scissors, jack knife, window, door or other hinged pair of things; to wink
qumsekegte-,to get one's fingers or other body part or other thing pinched between two things
qunengllagh-,to rock to sleep
qungangiite-,to reach the center; to acculturate
qungevagh-,to go further inwards or inland
qungllaagh-,to part the hair in the middle
qunglug-,to submerge (of seals, walrus, people)
qungragaghte-,to chip; to crack; to split
qungsig-,to be easily split for thread making (of sinew)
qungsugh-,to rest after giving birth with one's legs flexed and upper body bent over them
qungughnagh-,to be downcast, joyless
qungughte-,to hang one's head down; to rest forehead on crossed arms
qungugh-,to bury; to inter
qungyagh-,to be envious; to be jealous
qungyake-,to be envious or jealous of (him)
qungyaqe-,to be envious or jealous of (him)
quniluugte-,to become teary-eyed; to get tears all over one's face
qunqalleg-,to blink
qunqavyugte-,to squint
quperghuugh-,to decorate front of sealskin water boots with narrow strips of bleached sealskin with waterproof seams
quperghu-,to cut alongside a small part of something
qupigh-,to put on hair beads
qupughhagh-,to have one's hair become wet and stringy
qupughhugh-,to cut or split lengthwise; to rip (cut with the grain)
qupughragh-,to split or cut into strips
qupugh-,to split more than one thing
quqighnagh-,to be peppy; to be full of energy
quqiigh-,to attract the attention of a passerby by putting a stick up through the ceiling ventilator and making noise
qusevegnagh-,to be modest or humble
qusevegte-,to be modest or humble
qusighqe-,to develop or cause cracks especially when weight is applied
qutenge-,to reach the shore; to find land after being lost at sea
qutug-,to snore
quugniigh-,to look for firewood
quugsaghtugh-,to look for firewood on the shore by boat
